Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Skulls & Anatomy: Copyright Free Vintage Illustrations for Artists and Designers,20.0,"Do you want to make amazing artwork, take your creative practice to the next level and impress both your clients and peers?Skulls & Anatomy, Copyright Free Vintage Illustrations for Artists & Designers is a collection of 180 high quality, digitised, anatomical drawings for use in personal or commercial creative projects. This is an essential resource to take your art and design to the next level and give you a competitive advantage over your peers. Vault Editions&#39 team of designers and illustrators have spent a lifetime hunting and restoring vintage woodcuts and engravings from around the world to create amazing artwork with. Now, we are opening the vault of our archives to the public.Within this collection, you will find rare, high-quality images carefully curated by our team of professional artists and designers who have used this imagery to create book cover designs, gig-posters, logos, t-shirt designs and more. We have carefully restored the artwork and provided a download link within the publication where you will locate high-resolution files in JPEG format as well as TIFF files with backgrounds removed to speed up your workflow.By collaging multiple images together, you can create limitless impressive and dynamic designs in minutes that will impress everyone, no matter what your skill level is.Start creating amazing artwork today.",978-0648049760,https://m.media-amazon.com/images/I/81Hh-To7FsL._SY522_.jpg,Avenue House Press PTY LTD (6 mars 2019),Kale James,Radio
Skulls & Anatomy: Copyright Free Vintage Illustrations for Artists and Designers,11.11,"Do you want to make amazing artwork, take your creative practice to the next level and impress both your clients and peers?Skulls & Anatomy, Copyright Free Vintage Illustrations for Artists & Designers is a collection of 180 high quality, digitised, anatomical drawings for use in personal or commercial creative projects. This is an essential resource to take your art and design to the next level and give you a competitive advantage over your peers. Vault Editions&#39 team of designers and illustrators have spent a lifetime hunting and restoring vintage woodcuts and engravings from around the world to create amazing artwork with. Now, we are opening the vault of our archives to the public.Within this collection, you will find rare, high-quality images carefully curated by our team of professional artists and designers who have used this imagery to create book cover designs, gig-posters, logos, t-shirt designs and more. We have carefully restored the artwork and provided a download link within the publication where you will locate high-resolution files in JPEG format as well as TIFF files with backgrounds removed to speed up your workflow.By collaging multiple images together, you can create limitless impressive and dynamic designs in minutes that will impress everyone, no matter what your skill level is.Start creating amazing artwork today.",978-0648049760,https://m.media-amazon.com/images/I/81Hh-To7FsL._SY522_.jpg,Avenue House Press PTY LTD (6 mars 2019),Kale James,Radio
"The Vampire Diaries, tous les secrets de Mystic Falls / Nouvelle édition (broché)",24.95,"Depuis son lancement en 2009, The Vampire Diaries a mordu des millions de fans dans le monde entier. Subtil mélange de suspense, d&#39action et de romance, cette série a fait frissonner et haleter huit (incroyables) saisons durant. Interviews des acteurs, révélations de l&#39équipe, photographies de plateau et documents inédits retracent pour la première fois le journal de cette saga fantastique. Tous les secrets de Mystic Falls se dévoilent dans ce livre officiel, offrant l&#39éternité à cette série devenue culte. Préface de Ian Somerhalder et introduction de Paul Wesley.",978-2364809970,https://m.media-amazon.com/images/I/81WbDUufdCL._SY522_.jpg,HUGINN MUNINN (14 juin 2024),Huginn & Muninn,Radio
La femme invisible,16.0,"« J’ai chaud. Les dîners finissent plus tôt. Je bois moins. Je vieillis.
Ça peut couper les jambes, mais ça peut aussi porter, soulever, se faire s’envoler, exacerber l’envie et le goût pour les autres, l’enthousiasme, les tentatives, les échecs sans regrets et les petites réussites. Plus « rien à perdre », comme si cela avait été le cas un jour.
J’ai ressenti la cinquantaine comme une crise d’adolescence équipée d’un cerveau. Une libération. Une jubilation ! »
Finis les discours imposés ou les a priori, terminés les regards qui assignent encore et toujours : Maïtena Biraben nous livre son récit, brut, vrai et d’une sincérité désarmante. L’enfance entre quatre frères, les combats d’une jeune maman célibataire, l’amour, le sexe, le travail, le reflet dans le miroir, l’ovale du visage qui change et le premier tatouage. Elle renverse les poncifs et les croyances, part en guerre contre les images, celles de la fille, la sœur, la mère et l’épouse, de l’argent et du succès, qui inhibent et dissimulent, avec une joie féroce et beaucoup d’humour.
Une leçon de vie pour toutes les générations de femmes qui, passé 50 ans, se questionnent sur leur place.",978-2246817314,https://m.media-amazon.com/images/I/71wgocd59ZL._SY522_.jpg,Grasset (2 mai 2024),Maïtena Biraben,Radio
La vie m&#39a réservé bien des surprises: Faire des épreuves de la vie une force pour avancer sereinement !,18.0,"Véronika Loubry a affronté avec courage les changements et les épreuves, de l’arrêt de sa carrière d’animatrice pour se consacrer à ses enfants à la terrible nouvelle du cancer de son compagnon. Dans son livre, elle revisite les moments marquants de sa vie et se livre comme jamais auparavant.
À 55 ans, cette animatrice vedette s’est adaptée à son époque et a complètement réinventé sa vie. Suivie par des milliers d’abonnés sur ses réseaux sociaux, qu’elle considère comme ses « Instaamies », elle partage les clés de son bonheur et encourage chacun à accepter les surprises de la vie.
À travers des souvenirs et des anecdotes, elle dévoile sa philosophie qui lui permet d’avancer avec sérénité face aux défis de la vie.",979-1028530839,https://m.media-amazon.com/images/I/71Qz8Mh3WML._SY522_.jpg,LEDUC; 1er édition (26 mars 2024),Véronika Loubry,Radio
Dans l&#39oreille du cyclone,16.0,"C’est l’histoire d’une blague qui commence sur France Inter et finit à la police judiciaire, en passant par CNews et l’Assemblée nationale.
C&#39est l&#39histoire d’un clown pris dans la tourmente d’une polémique sans fin, entre insultes, menaces et pressions absurdes.
C’est l’histoire du lien entre notre époque et la pratique humoristique, à mi-chemin entre rire et sport de combat.
Dans ce journal de bord d’une tempête médiatique, Guillaume Meurice raconte comment les polémiques se fabriquent et se défont. Un texte, drôle et inquiétant, sur l’humour politique.
Guillaume Meurice est humoriste.",978-2021567823,https://m.media-amazon.com/images/I/715qxWo6NhL._SY522_.jpg,SEUIL (15 mars 2024),Guillaume Meurice,Radio
Jennifer Aniston: L&#39impossible bonheur,24.95,"Découvrez la fascinante histoire de l&#39une des actrices les plus emblématiques de notre époque. Plongez dans la vie d&#39une célébrité hors du commun : son parcours, ses succès et ses épreuves.

Cette biographie captivante retrace l&#39incroyable ascension de Jennifer Aniston, une « girl next door » californienne, enfant de la balle qui rêvait de faire mieux que ses parents. Légendaire Rachel de la série Friends, mariée un temps au sex-symbol de l&#39Amérique, Jennifer Aniston a gagné son statut d&#39icône et son étoile sur Hollywood boulevard.

Mais plus que l&#39actrice, c&#39est la femme qui mérite d&#39être connue. Son rêve de maternité brisé, son mariage ultra-compliqué avec Brad Pitt et les véritables raisons de leur rupture, ses relations jamais apaisées avec sa mère, sont autant d&#39épreuves qu&#39elle a su surmonter. Aux prises avec les démons de son ami Matthew Perry - c&#39est elle qui, la première, a deviné ses addictions - elle reste aujourd&#39hui le pilier de la famille de",978-2017234418,https://m.media-amazon.com/images/I/81DDkRmZFLL._SY522_.jpg,Hachette Pratique (15 mai 2024),Anaïs Maquiné Denecker,Radio
Scènes et Nature de Printemps: Livre de Coloriage Pour Adultes de 50 Dessins Inspirants de la Saison Printanière | Illustrations Anti-Stress à ... | Pour Adultes | 102 Pages | Grand Format |,17.1,"Découvrez ce livre de coloriage composé de 50 dessins à colorier variés et inspirants sur le thème du printemps pour accueillir cette nouvelle saison printanière, de renouveau et passer un moment serein et de zenitude !

Du coloriage grayscale, qui utilise différentes nuances de gris, au coloriage plus simple mais raffiné, la variété des 50 dessins proposé est idéale pour vous évader dans une parenthèse cosy et développer votre créativité.
Ce livre de Coloriage est idéal pour adultes et adolescents !

🪄 Découvrez des exemples de dessins à colorier tout en bas de la page !🌷🪻",979-8879087239,https://m.media-amazon.com/images/I/719za6pOzAL._SY522_.jpg,Independently published (9 février 2024),Golden Stephy,Radio
Bienvenue à L&#39Agence,24.5,"« De Majo, l’oeil de lynx malicieux de la famille, Olivier le père visionnaire, Sandrine la mère protectrice du clan, aux quatre frères – Martin l’aîné fonceur, Valentin à la pointe des tendances, Louis à la conquête de l’Espagne, et Raphaël à la relève – chacun se reconnaîtra dans les liens et la force des émotions qui nous unissent.

Au-delà de nos succès dans le monde incroyable de l’immobilier de luxe, nous avons accepté de raconter pour la première fois ce que l’on ne voit pas dans la série. Nous nous livrons sans caméra, avec spontanéité, sur notre vie de famille, nos débuts mouvementés, et révélons nos anecdotes jamais partagées à l’Agence.

Vous découvrirez notre histoire et la manière avec laquelle nous parvenons à vivre, travailler et réussir en famille : gérer la pression et les conflits, surmonter les épreuves de la vie, mais surtout croire en l’avenir, cultiver son émerveillement et ne jamais avoir de regrets.

La famille Kretz n’a pas fini de vous surprendre ! »",978-2213727103,https://m.media-amazon.com/images/I/812qF0PA8rL._SY522_.jpg,Fayard; Illustrated édition (27 mars 2024),Famille Kretz,Radio
"Moi, millionnaire ?",18.9,"L&#39incroyable destin de Bruno Hourcade, grand vainqueur des "" 12 Coups de Midi "" et recordman de victoires individuelles dans un jeu télé
Je n&#39étais, a priori, pas destiné aux paillettes des plateaux de télévision. Mais les livres, qui ont toujours été mes compagnons, ont guidé ma soif d&#39apprendre et de me cultiver. Une curiosité qui m&#39a propulsé, le 20 janvier 2021, sur le plateau des "" 12 Coups de Midi "", l&#39émission de jeu de culture générale la plus populaire de France, animée par le charismatique Jean-Luc Reichmann.

Neuf mois plus tard, je me retrouvais à la tête de plus d&#39un million d&#39euros. Un record en termes d&#39argent gagné, mais aussi de participations, deux-cent-cinquante-deux jours au total et une somme que je n&#39aurais jamais réussi à accumuler en toute une vie de travail.

Une aventure à peine imaginable que je vous propose de suivre à mes côtés en vous dévoilant au passage les coulisses de cette télévision qui a fait de moi un millionnaire.",978-2701404158,https://m.media-amazon.com/images/I/6149KCY9xWL._SY522_.jpg,Hors Collection (18 avril 2024),Bruno Hourcade,Radio
