Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"HISTOIRE INSPIRANTE POUR ENFANT, Les Aventures d'Eli: confiance en soi, créativité, persévérance, encourage l'empathie, le courage, la curiosité et ... parent-enfant / 6-8 ans lecture seul.e",7.83,"""Offrez à votre enfant une aventure extraordinaire avec Les Aventures d'Eli !
Ce livre inspirant encourage la créativité, la persévérance et l'empathie, tout en montrant aux petits lecteurs que leurs talents peuvent changer le monde. Une histoire captivante qui éveillera la curiosité et les valeurs positives de votre enfant, faisant de chaque page une source d'inspiration pour grandir avec courage et générosité.""
Mathilda
Plongez votre enfant dans une histoire nourrissant l'imagination avec des leçons de vie précieuses.",979-8875703294,https://m.media-amazon.com/images/I/61JHn6kzA6L._SY522_.jpg,Independently published (10 janvier 2024),Mathilda PB
"HISTOIRE INSPIRANTE POUR ENFANT, Les Aventures d'Eli: confiance en soi, créativité, persévérance, encourage l'empathie, le courage, la curiosité et ... parent-enfant / 6-8 ans lecture seul.e",6.67,"""Offrez à votre enfant une aventure extraordinaire avec Les Aventures d'Eli !
Ce livre inspirant encourage la créativité, la persévérance et l'empathie, tout en montrant aux petits lecteurs que leurs talents peuvent changer le monde. Une histoire captivante qui éveillera la curiosité et les valeurs positives de votre enfant, faisant de chaque page une source d'inspiration pour grandir avec courage et générosité.""
Mathilda
Plongez votre enfant dans une histoire nourrissant l'imagination avec des leçons de vie précieuses.",979-8875703294,https://m.media-amazon.com/images/I/61JHn6kzA6L._SY522_.jpg,Independently published (10 janvier 2024),Mathilda PB
BD Mortelle Adèle - Tome 21 RécréACTION GÉNÉRALE !,11.5,"Mortelle Adèle revient dans le 21e tome de ses aventures, publié chez Mr Tan & Co !
""Au secours, mes parents sont d'un ennui... Pourtant, à une époque, ils faisaient autant de bêtises que moi, c'est mamie qui me l'a dit ! Je dois faire quelque chose pour les aider, et vite ! Une petite cure de mortellitude s'impose !""

Mortelle Adèle en est convaincue : grandir est la pire idée que les enfants puissent avoir ! Il n'y a qu'à regarder les adultes autour, ces derniers n'ont plus l'énergie de faire la moindre bêtise ! Ni une, ni deux, Mortelle Adèle décide d'offrir à tout son entourage une récréACTION générale !",978-2494678262,https://m.media-amazon.com/images/I/61wjgYrozaL._SY522_.jpg,Mr Tan & Co; Illustrated édition (23 mai 2024),Mr Tan
Solo Leveling T13,14.95,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382882559,https://m.media-amazon.com/images/I/71xz1dp2rOL._SY522_.jpg,Kbooks; Illustrated édition (29 mai 2024),DUBU(REDICE STUDIO)
La route,7.14,"L'apocalypse a eu lieu. Le monde est dévasté, couvert de cendres et de cadavres. Parmi les survivants, un père et son fils errent sur une route, poussant un caddie rempli d'objets hétéroclites, censés les aider dans leur voyage. Sous la pluie, la neige et le froid, ils avancent vers les côtes du sud, la peur au ventre : des hordes de sauvages cannibales terrorisent ce qui reste de l'humanité. Survivront-ils à leur périple ? Après ""Le Rapport de Brodeck"", Manu Larcenet adapte de nouveau une oeuvre majeure de la littérature. Couronnée par le prix Pulitzer en 2007, ""La Route"" a connu un grand succès et a été adaptée au cinéma en 2009 avec Vigo Mortensen dans le rôle principal. Avec cet album, Manu Larcenet réussit une adaptation d'une originalité absolue et pourtant d'une totale fidélité. En posant son trait sous les mots du romancier, en illustrant les silences du récit, l'artiste s'est approprié l'univers sombre et fascinant du roman de Cormac McCarthy. D'un roman-culte il a fait un album d'une beauté saisissante, à la fois puissant et poignant. Incontestablement un des chefs-d'oeuvre de la bande dessinée moderne. Cormac McCarthy a signé plusieurs romans phares dont ""La Route"" mais aussi ""No Country for old men"", également adapté par les frères Coen au cinéma. Son oeuvre est essentiellement disponible aux éditions de L'Olivier (et Points), associées à Dargaud sur ce projet. L'écrivain est décédé le 13 juin 2023. Son roman, publié aux Éditions de l'Olivier et chez Points pour la version poche, a été vendu à près de 800 000 exemplaires.",978-2205208153,https://m.media-amazon.com/images/I/91WdXAUge1L._SY522_.jpg,DARGAUD; Illustrated édition (29 mars 2024),Larcenet Manu
"Le Monde sans fin, miracle énergétique et dérive climatique",11.55,"La rencontre entre un auteur majeur de la bande dessinée et un éminent spécialiste des questions énergétiques et de l’impact sur le climat a abouti à ce projet, comme une évidence, une nécessité de témoigner sur des sujets qui nous concernent tous. Intelligent, limpide, non dénué d’humour, cet ouvrage explique sous forme de chapitres les changements profonds que notre planète vit actuellement et quelles conséquences, déjà observées, ces changements parfois radicaux signifient. Jean-Marc Jancovici étaye sa vision remarquablement argumentée en plaçant la question de l’énergie et du changement climatique au coeur de sa réflexion tout en évoquant les enjeux économiques (la course à la croissance à tout prix est-elle un leurre ?), écologiques et sociétaux. Ce témoignage éclairé s’avère précieux, passionnant et invite à la réflexion sur des sujets parfois clivants, notamment celui de la transition énergétique. Christophe Blain se place dans le rôle du candide, à la façon de son livre ""En cuisine avec Alain Passard"" et de ""Quai d’Orsay"" signé avec l’expertise d’un coauteur : un pavé de 120 pages indispensable pour mieux comprendre notre monde, tout simplement !",978-2205088168,https://m.media-amazon.com/images/I/91ERPyvcONL._SY522_.jpg,DARGAUD; Illustrated édition (29 octobre 2021),Blain Christophe
"HISTOIRE INSPIRANTE POUR ENFANT, Les Aventures d'Eli: confiance en soi, créativité, persévérance, encourage l'empathie, le courage, la curiosité et ... parent-enfant / 6-8 ans lecture seul.e",5.02,"""Offrez à votre enfant une aventure extraordinaire avec Les Aventures d'Eli !
Ce livre inspirant encourage la créativité, la persévérance et l'empathie, tout en montrant aux petits lecteurs que leurs talents peuvent changer le monde. Une histoire captivante qui éveillera la curiosité et les valeurs positives de votre enfant, faisant de chaque page une source d'inspiration pour grandir avec courage et générosité.""
Mathilda
Plongez votre enfant dans une histoire nourrissant l'imagination avec des leçons de vie précieuses.",979-8875703294,https://m.media-amazon.com/images/I/61JHn6kzA6L._SY522_.jpg,Independently published (10 janvier 2024),Mathilda PB
Histoire de Jérusalem,13.87,"4 000 ans d'une histoire universelle pour la première fois racontés dans une BD exceptionnelle.
Il y a 4 000 ans, Jérusalem était une petite bourgade isolée, perchée sur une ligne de crête entre la Méditerranée et le désert. Aujourd'hui, c'est une agglomération de presque un million d'habitants, qui focalise les regards et attire les visiteurs du monde entier.
Entre-temps, les monothéismes y ont été inventés, les plus grands conquérants s'en sont emparé, les plus grands empires s'y sont affrontés. Tour à tour égyptienne, perse, juive, grecque, romaine, byzantine, arabe, croisée, mamelouke, ottomane, anglaise, jordanienne, israélienne et palestinienne, Jérusalem est au coeur des intérêts et des passions du monde. Berceau du judaïsme, du christianisme et de l'islam, elle est aujourd'hui une capitale spirituelle pour plus de la moitié de l'humanité.
En 10 chapitres, acteurs et témoins, célèbres ou anonymes, toutes celles et ceux qui ont arpenté Jérusalem au fi l des siècles racontent ce mille-feuille d'influences composites. Rien n'est inventé : scènes et dialogues proviennent de plus de 200 sources publiées et d'archives inédites, pour donner chair à ce récit choral.",979-1037507150,https://m.media-amazon.com/images/I/71e4IuxKLoL._SY522_.jpg,Les Arènes; Illustrated édition (27 octobre 2022),Vincent Lemire
La petite grande Chaventure d'Ajax,9.26,"Ajax est de retour dans sa première Petite Grande Chaventure !

Alors que toute la famille rentre de vacances, Ajax se perd en chemin !
Egaré dans la ville, le matou le plus mignon du monde voit alors ses pires craintes se réaliser : le voilà séparé de sa précieuse et adorée Mortelle Adèle ! Hors de question pour lui de laisser sa maîtresse privée de câlins et de ronronnements, il décide de tout mettre en oeuvre pour la retrouver !

Mais pour un chat qui n'a jamais quitté le salon douillet de sa maison, ce périple devient une aventure à part entière. L'occasion pour le petit félin de faire la connaissance d'un monde qui lui était jusque-là inconnu, et de se faire de",978-2494678224,https://m.media-amazon.com/images/I/6167QcEBRNL._SY522_.jpg,Mr Tan & Co; Illustrated édition (4 avril 2024),ChrisPop
BD Mortelle Adèle - Tome 20 J'apocalypse grave !,12.64,"La nouvelle aventure de Mortelle Adèle qui apocalypse grave !
""Oh là là, et dire que c'était sous vos yeux depuis tout ce temps et que vous n'avez rien vu...C'est un secret que j'ai décidé de partager avec
vous aujourd'hui ! Oui, maintenant, tout de suite ! Après vous n'aurez plus aucun doute : Moi, j'apocalypse grave !""

Mortelle Adèle, reine incontestée des bêtises, ne manque pas d'imagination quand il s'agit d'étendre les limites de l'impossible ! Et pourquoi s'accommoder d'une seule réalité, quand on peut être l'héroïne la plus mortelle de toutes les dimensions ?
Alors accrochez-vous et embarquez avec votre Bizarre préférée, c'est LE décollage que vous ne voudriez pas rater !",978-2494678095,https://m.media-amazon.com/images/I/71p3qjiIk4L._SY522_.jpg,Mr Tan & Co; Illustrated édition (5 octobre 2023),Mr Tan
